Lx,Lz,alpha,gamma,min_Re,count
10.7895,4.9474,0.58234258,1.26999743,121.76888930,3
12.8947,6.2105,0.48726882,1.01170362,116.85035123,4
9.2105,7.0526,0.68217635,0.89090340,102.95438379,4
13.4211,4.1053,0.46815725,1.53050576,170.70046131,1
14.4737,3.6842,0.43411051,1.70544088,209.94861282,1
6.0526,5.7895,1.03809690,1.08527253,130.74914621,2
15.0000,8.3158,0.41887902,0.75557196,112.81197487,5
15.0000,9.1579,0.41887902,0.68609455,110.98241541,6
8.1579,5.3684,0.77019641,1.17040185,104.51701243,3
8.1579,2.4211,0.77019641,2.59517794,288.77937478,2
12.3684,5.7895,0.50800308,1.08527253,118.48959449,4
13.4211,4.5263,0.46815725,1.38815043,152.92045336,3
5.5263,6.6316,1.13696059,0.94746144,163.26999991,2
13.9474,5.3684,0.45049151,1.17040185,135.16126401,3
6.0526,7.4737,1.03809690,0.84070612,170.37633752,3
