timestamp,case,group,J,K,L,sol_id,status,error,job_dir
2026-03-08T18:27:25,re300_lx10_lz6,C,2,4,5,3,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_5/dns_findsoln/sol003
2026-03-08T18:27:25,re300_lx10_lz6,C,1,4,5,3,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_4_5/dns_findsoln/sol003
2026-03-08T18:27:25,re300_lx10_lz6,C,1,3,5,3,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol003
2026-03-08T18:37:40,re300_lx10_lz6,D,2,4,6,3,not_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_6/dns_findsoln/sol003
2026-03-08T18:42:07,re300_lx10_lz6,F,3,5,9,1,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/F/jkl_3_5_9/dns_findsoln/sol001
2026-03-08T18:42:07,re300_lx10_lz6,F,3,4,9,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/F/jkl_3_4_9/dns_findsoln/sol001
2026-03-08T18:42:07,re300_lx10_lz6,F,2,4,9,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/F/jkl_2_4_9/dns_findsoln/sol001
2026-03-08T18:42:07,re300_lx10_lz6,F,2,4,8,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/F/jkl_2_4_8/dns_findsoln/sol001
2026-03-08T18:42:07,re300_lx10_lz6,F,2,4,7,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/F/jkl_2_4_7/dns_findsoln/sol001
2026-03-08T18:42:07,re300_lx10_lz6,F,2,4,6,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/F/jkl_2_4_6/dns_findsoln/sol001
2026-03-08T18:42:07,re300_lx10_lz6,F,2,4,5,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/F/jkl_2_4_5/dns_findsoln/sol001
2026-03-08T18:42:07,re300_lx10_lz6,F,1,4,5,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/F/jkl_1_4_5/dns_findsoln/sol001
2026-03-08T18:42:07,re300_lx10_lz6,F,1,3,5,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/F/jkl_1_3_5/dns_findsoln/sol001
2026-03-08T18:55:46,re300_lx10_lz6,E,2,4,6,4,not_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_6/dns_findsoln/sol004
2026-03-08T18:56:55,re300_lx10_lz6,E,1,4,5,5,not_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_4_5/dns_findsoln/sol005
